Sede,Documento de identidad,Grado,Grupo,Periodo,Año,Intensidad Horaria,Asignatura,Cognitiva,Procedimental,Actitudinal,Axiologica,Calificacion_Ponderada,Grupo Asignatura
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,3.0,Ciencias Naturales,75,75,80,85.0,77.0,Ciencias y Matemáticas
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,4.0,Ciencias Sociales,86,88,93,92.0,88.60000000000001,Lengua y Humanidades
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,6.0,Matemáticas,87,89,85,90.0,87.5,Ciencias y Matemáticas
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,3.0,Lengua Castellana,79,87,90,90.0,84.7,Lengua y Humanidades
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,4.0,Inglés,94,94,92,93.0,93.5,Lengua y Humanidades
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,2.0,Innovación y Emprendimiento,86,87,95,93.0,88.8,Tecnología e Innovación
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,7.0,Aprendizaje Basado en Investigación,87,87,90,90.0,87.9,Proyectos y Aprendizaje Integral
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,3.0,Educación Física,91,90,80,89.0,88.30000000000001,Artes y Educación Física
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,2.0,Lectura Crítica,85,85,90,90.0,86.5,Lengua y Humanidades
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,1.0,Artes,91,92,85,90.0,90.0,Artes y Educación Física
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,1.0,Robótica y TICS,83,87,80,90.0,84.3,Tecnología e Innovación
Girardot,4f157175b3867ef473521e99853ff65cf05dcdb26d2380b5c2772dea1d4400f4,6,A,IV,2023,1.0,Inteligencia emocional e Integralidad,97,93,100,100.0,96.7,Proyectos y Aprendizaje Integral
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,4.0,Ciencias Naturales,88,90,86,95.0,88.9,Ciencias y Matemáticas
