Sede,Estudiante,Grado,Grupo,Periodo,Año,Intensidad Horaria,Asignatura,Cognitiva,Procedimental,Actitudinal,Axiologica,Calificacion_Ponderada
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,4.0,Ciencias Naturales,88,90,86,95.0,88.9
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,3.0,Ciencias Sociales,92,92,89,90.0,91.2
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,5.0,Matemáticas,89,90,84,95.0,88.9
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,3.0,Lengua Castellana,87,86,95,100.0,89.60000000000001
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,2.0,Lectura Crítica,82,82,90,90.0,84.4
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,4.0,English,86,86,100,100.0,90.2
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,3.0,Educación Física,89,89,93,92.0,90.10000000000001
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,1.0,Creatividad e innovación,89,90,90,94.0,90.0
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,2.0,Aprendizaje Basado en Proyectos,91,93,90,95.0,91.8
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,1.0,Artes,92,93,89,89.0,91.4
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,1.0,Tecnologías Informáticas,87,92,80,97.0,88.10000000000001
Fusagasugá,a8364bda3c3f086b93fb68747ba50cc96d0c17e8bab600605573b6bb017019a7,1,A,II,2024,1.0,Integralidad,99,99,100,100.0,99.3
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,3.0,Ciencias Naturales,51,45,75,60.0,54.900000000000006
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,4.0,Ciencias Sociales,78,53,80,94.0,72.5
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,6.0,Matemáticas,60,60,90,85.0,68.5
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,3.0,Lengua Castellana,67,70,85,95.0,74.3
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,4.0,Inglés,66,63,92,91.0,72.8
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,2.0,Innovación y Emprendimiento,94,93,95,98.0,94.3
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,7.0,Aprendizaje Basado en Investigación,87,87,86,85.0,86.60000000000001
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,3.0,Educación Física,89,89,90,90.0,89.3
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,2.0,Lectura Crítica,89,72,80,89.0,82.10000000000001
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,1.0,Artes,91,91,90,90.0,90.7
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,1.0,Robótica y TICS,80,80,80,90.0,81.0
Fusagasugá,5849b434ce9b707584eacabe41cbed22ced46e8b70004e9168c376b98c5cbc8f,7,A,II,2023,1.0,Inteligencia emocional e Integralidad,83,90,100,100.0,90.2
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,3.0,Ciencias Naturales,54,54,94,90.0,65.6
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,4.0,Ciencias Sociales,62,46,60,92.0,59.800000000000004
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,6.0,Matemáticas,65,66,85,90.0,71.8
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,3.0,Lengua Castellana,67,69,85,90.0,73.5
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,4.0,Inglés,63,65,92,90.0,72.10000000000001
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,2.0,Innovación y Emprendimiento,81,81,80,95.0,82.2
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,7.0,Aprendizaje Basado en Investigación,61,64,62,73.0,63.3
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,3.0,Educación Física,77,81,85,80.0,80.1
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,2.0,Lectura Crítica,66,69,60,95.0,68.6
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,1.0,Artes,82,85,85,80.0,83.30000000000001
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,1.0,Robótica y TICS,83,90,80,90.0,85.2
Fusagasugá,dfbe93c27cc3e7aa8049afc57e9e2374077a944522c6d746a2b642a026822517,7,A,I,2023,1.0,Inteligencia emocional e Integralidad,93,97,100,90.0,95.3
Fusagasugá,b38a39cbdcec4bd7fa58af789d99b6860423fcf9a7a117e31e69078915bbc55b,3,A,IV,2023,3.0,Ciencias Naturales,76,75,90,90.0,79.9
Fusagasugá,b38a39cbdcec4bd7fa58af789d99b6860423fcf9a7a117e31e69078915bbc55b,3,A,IV,2023,3.0,Ciencias Sociales,84,84,96,97.0,87.7
Fusagasugá,b38a39cbdcec4bd7fa58af789d99b6860423fcf9a7a117e31e69078915bbc55b,3,A,IV,2023,5.0,Matemáticas,80,80,97,97.0,85.10000000000001
Fusagasugá,b38a39cbdcec4bd7fa58af789d99b6860423fcf9a7a117e31e69078915bbc55b,3,A,IV,2023,4.0,Lengua Castellana,78,68,88,95.0,78.7
Fusagasugá,b38a39cbdcec4bd7fa58af789d99b6860423fcf9a7a117e31e69078915bbc55b,3,A,IV,2023,4.0,Inglés,69,66,85,95.0,73.9
Fusagasugá,b38a39cbdcec4bd7fa58af789d99b6860423fcf9a7a117e31e69078915bbc55b,3,A,IV,2023,2.0,Creatividad e Innovación,90,89,90,90.0,89.7
Fusagasugá,b38a39cbdcec4bd7fa58af789d99b6860423fcf9a7a117e31e69078915bbc55b,3,A,IV,2023,4.0,Aprendizaje Basado en Proyectos,91,92,88,98.0,91.39999999999999
Fusagasugá,b38a39cbdcec4bd7fa58af789d99b6860423fcf9a7a117e31e69078915bbc55b,3,A,IV,2023,3.0,Educación Física,91,91,100,100.0,93.7
Fusagasugá,b38a39cbdcec4bd7fa58af789d99b6860423fcf9a7a117e31e69078915bbc55b,3,A,IV,2023,2.0,Lectura Crítica,89,89,90,95.0,89.8
