Sede,Estudiante,Grado,Grupo,Periodo,Año,Intensidad Horaria,Asignatura,Cognitiva,Procedimental,Actitudinal,Axiologica,Calificacion_Ponderada
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,3.0,Ciencias Naturales,75,75,80,85.0,77.0
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,4.0,Ciencias Sociales,86,88,93,92.0,88.60000000000001
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,6.0,Matemáticas,87,89,85,90.0,87.5
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,3.0,Lengua Castellana,79,87,90,90.0,84.7
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,4.0,Inglés,94,94,92,93.0,93.5
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,2.0,Innovación y Emprendimiento,86,87,95,93.0,88.8
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,7.0,Aprendizaje Basado en Investigación,87,87,90,90.0,87.9
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,3.0,Educación Física,91,90,80,89.0,88.30000000000001
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,2.0,Lectura Crítica,85,85,90,90.0,86.5
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,1.0,Artes,91,92,85,90.0,90.0
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,1.0,Robótica y TICS,83,87,80,90.0,84.3
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,1.0,Inteligencia emocional e Integralidad,97,93,100,100.0,96.7
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,4.0,Ciencias Naturales,73,73,90,88.0,77.89999999999999
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,3.0,Ciencias Sociales,81,81,90,90.0,83.7
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,5.0,Matemáticas,64,66,95,95.0,73.9
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,3.0,Lengua Castellana,70,70,80,90.0,74.0
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,2.0,Lectura Crítica,80,81,80,88.0,81.1
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,4.0,English,70,70,90,88.0,75.8
